scorer,,,cai,cai,cai,cai,cai,cai,cai,cai,cai,cai,cai,cai,cai,cai,cai,cai
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img0834.png,513.3506585615642,211.97798758444074,514.5472675877044,208.38816050601994,515.7438766138447,198.81528829689788,506.7693089177927,191.6356341400563,512.154049535424,216.16611917593164,497.1964367086706,210.18307404523034,493.0083051171797,200.01189732303814,498.9913502478811,191.6356341400563
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img0894.png,481.04221485577716,310.09992772794214,485.8286509603382,316.0829728586434,494.20491414332,306.51010064952135,501.3845683001615,297.5355329534694,473.86256069893557,314.8863638325032,478.05069229042647,293.94570587504865,484.03373742112774,289.1592697704876,495.40152316946023,292.1507923358382
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img0990.png,252.4898908629874,379.50325124407726,256.6780224544783,382.4947738094279,263.25937209824974,386.0846008878487,275.22546235965234,378.306642217937,250.09667281070688,374.7168151395162,260.8661540459692,365.14394293039413,,,274.0288533335121,368.73377000881493
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img1008.png,195.650962121325,340.01515338144867,193.25774406904452,346.5965030252201,204.62552981737696,351.3829391297811,214.19840202649902,354.3744616951318,196.84757114746526,335.82702178995777,205.82213884351722,334.03210825074734,,,219.58314264413025,346.5965030252201
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img1060.png,303.34577447394844,441.1286160903007,311.7220376569303,441.7269206033708,308.1322105785095,430.35913485503835,298.55933836938743,421.9828716720565,303.9440789870186,449.5048792732825,290.78137969947574,439.3337025510903,287.19155262105494,432.1540483942487,293.77290226482637,424.376089724337
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img1181.png,440.35750796700825,131.20687831997313,445.1439440715693,130.608573806903,453.5202072545511,135.39500991146406,460.6998614113927,144.96788212058613,438.5625944277979,133.00179185918353,440.35750796700825,146.76279565979652,,,456.5117298199018,150.95092725128745
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img1184.png,427.1948086794654,107.27469779716795,424.8015906271849,110.86452487558871,425.399895140255,121.03570159778094,433.7761583232368,130.608573806903,430.7846357578862,106.07808877102768,440.35750796700825,112.06113390172898,445.1439440715693,123.42891965006147,439.7592034539382,128.2153557546225
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img1196.png,425.9981996533252,46.84594197708478,421.2117635487641,45.05102843787439,417.6219364703433,57.01711869927699,415.2287184180628,68.38490444760947,430.7846357578862,48.04255100322504,433.17785381016677,58.81203223848739,431.98124478402644,69.58151347374972,421.8100680618342,71.37642701296012
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img1253.png,428.9897222186759,91.71878273969519,428.9897222186759,87.53065114820429,425.3998951402551,79.75269247829259,417.6219364703434,77.35947442601206,435.57107186244735,97.10352335732635,418.8185454964837,97.70182787039649,,,411.040586826572,79.75269247829259
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img1380.png,440.3575079670084,319.07449770634474,,,444.5456395584993,302.9202758534512,,,431.38294027095645,319.07449770634474,,,,,431.38294027095645,294.5440126704694
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img1428.png,,,436.1693763755175,352.579550438272,442.1524215062188,353.17785495134217,442.1524215062188,340.6134601768694,441.5541169931486,323.26262929783564,424.20328611411486,338.81854663765904,,,,
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img1500.png,262.6610675851797,434.5472687288799,267.4475036897407,441.7269228857214,275.2254623596524,442.3252273987916,283.0034210295641,435.14557324195,256.67802245447837,437.5387912942305,262.6610675851797,424.9743965197578,277.0203758988628,417.1964378498461,281.2085074903537,424.9743965197578
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img1526.png,350.0135264934187,430.9574416504591,355.3982671110499,428.56422359817856,344.0304813627174,415.99982882370585,336.2525226928057,415.4015243106357,352.4067445456992,435.14557324195,338.0474362320161,435.14557324195,327.8762595098239,426.7693100589682,331.46608658824465,418.3930468759864
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img1576.png,459.50325238525255,396.85408440546166,458.9049478721824,392.66595281397076,444.5456395584993,390.8710392747604,433.1778538101668,398.0506934316019,461.2981659244629,401.6405205100227,451.12698920227075,409.4184791799344,437.9642899147279,412.41000174528506,433.1778538101668,406.42695661458373
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img1586.png,491.81169609103955,387.8795167094097,494.2049141433201,383.6913851179188,483.43543290805775,377.70833998721747,,,500.18795927402147,390.27273476169023,481.6405193688474,401.6405205100227,473.86256069893574,395.6574753793214,470.87103813358505,388.47782122247986
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img1624.png,533.0947074928786,258.6457418862616,527.7099668752473,252.66269675556026,519.3337036922655,261.6372644516122,,,,,536.0862300582291,270.6118321476642,525.915053336037,282.5779224090668,518.7353991791954,278.3897908175759
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img1658.png,533.6930120059486,197.61868155310827,,,524.1201397968266,200.0118996053888,519.3337036922655,210.18307632758098,540.27436164972,194.62715898775764,537.2828390843695,211.9779898667914,531.2997939536681,217.96103499749267,522.9235307706863,216.1661214582823
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img1723.png,391.2965378952577,125.22383547162248,391.2965378952577,120.43739936706145,387.7067108168369,128.21535803697313,,,396.68127851288887,119.83909485399131,400.86941010437977,127.61705352390301,403.86093266973046,139.5831437853056,397.279583025959,143.1729708637264
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2134.png,347.02200392806805,116.24926777557052,343.43217684964725,125.22383547162248,,,,,,,360.78300772868107,115.65096326250041,,,364.3728348071018,133.00179414153416
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2198.png,336.2525226928057,104.88148202723805,333.8593046405252,107.87300459258871,343.43217684964725,113.25774521021988,,,336.2525226928057,94.11200079197572,344.0304813627174,94.11200079197572,357.1931806502603,94.11200079197572,360.1847032156109,103.08656848802765
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2217.png,278.2169849250031,113.25774521021987,271.63563528123166,115.05265874943026,281.80681200342383,126.42044449776273,293.7729022648264,131.20688060232376,,,290.7813796994758,109.66791813179907,298.5593383693875,116.84757228864063,298.5593383693875,125.8221399846926
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2324.png,550.4455383719123,238.90169295494724,551.6421473980525,231.12373428503554,546.8557112934915,225.73899366740437,537.2828390843695,216.76442597135247,551.0438428849824,245.48304259871867,534.8896210320889,240.69660649415766,,,529.5048804144577,223.944080128194
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2337.png,539.67605713665,284.37283594827716,547.4540158065616,284.37283594827716,546.2574067804214,269.4152231215239,543.8641887281409,256.25252383398106,540.8726661627902,289.7575765659083,528.3082713883175,277.1931817914356,,,536.0862300582291,259.8423509124018
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2351.png,540.27436164972,284.9711404613473,545.0607977542811,281.3813133829265,543.2658842150707,267.6203095823135,538.4794481105097,262.23556896468233,539.67605713665,289.7575765659083,525.3167488229668,281.3813133829265,,,529.5048804144577,261.6372644516122
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2415.png,457.110034332972,106.07809105337832,451.7252937153409,106.07809105337832,458.9049478721824,116.24926777557052,473.2642561858656,118.04418131478091,454.1185117676213,98.89843689653675,467.87951556823435,96.50521884425622,,,478.05069229042664,110.26622264486922
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2419.png,427.79311319253566,99.49674140960688,,,435.57107186244735,113.25774521021988,452.32359822841096,115.65096326250041,,,442.1524215062188,94.11200079197572,450.5286846892006,97.70182787039649,453.5202072545513,106.67639556644845
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2424.png,397.87788753902913,70.17982026917049,387.7067108168369,70.17982026917049,395.4846694867486,82.74421504364322,403.2626281566603,88.12895566127442,,,406.8524552350811,67.18829770381986,,,411.63889133964216,84.53912858285362
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2430.png,377.5355340946447,39.06798558952371,370.95418445087324,39.0679855895237,370.95418445087324,50.43577133785618,,,378.13383860771484,31.88833143268214,388.90331984297717,40.86289912873411,390.6982333821876,54.6239029293471,384.1168837384161,60.6069480600484
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2459.png,247.7034547584264,107.27470007951857,247.7034547584264,112.0611361840796,262.06276307210953,111.46283167100947,,,243.5153231669355,104.2831775141679,254.28480440219784,91.71878273969517,265.0542856374602,90.5221737135549,271.0373307681615,96.5052188442562
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2492.png,140.0086424058029,171.2932829780225,136.41881532738213,177.2763281087238,152.57303718027566,174.28480554337312,,,133.42729276203147,170.09667395188222,143.00016497115357,159.32719271661986,154.36795071948603,153.9424520989887,157.3594732848367,160.52380174276013
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2551.png,167.5306500070289,386.0846031701992,168.72725903316916,395.65747537932134,181.29165380764192,381.2981670656382,183.6848718599224,369.3320768042356,162.74421390246786,385.4862986571291,160.94930036325746,374.7168174218668,168.12895452009903,366.3405542388849,178.30013124229123,366.3405542388849
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2601.png,313.51695119614067,467.45401694773693,318.30338730070173,466.8557124346669,327.2779549967537,461.47097181703566,329.67117304903417,446.5133589902824,308.73051509157966,464.46249438238635,310.52542863079003,452.4964041209837,312.91864668307056,444.1201409380019,,
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2606.png,324.286432431403,442.32522739879147,329.07286853596406,445.31674996414216,335.6542181797355,439.932009346511,340.44065428429656,429.1625281112486,320.69660535298226,444.718445451072,321.29490986605236,431.55574616352914,,,335.0559136666654,423.17948298054733
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2616.png,292.5762932386861,403.43543404923304,287.7898571341251,411.21339271914474,305.14068801315887,418.3930468759863,311.7220376569303,415.40152431063564,,,300.3542519085978,396.25577989239144,,,318.30338730070173,407.62356564072394
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2680.png,134.0255972751016,250.2694787032797,129.8374656836107,252.66269675556018,130.43577019668083,263.43217799082254,141.20525143194317,270.01352763459397,132.23068373589123,244.88473808564854,150.77812364106526,250.2694787032797,,,148.38490558878473,268.21861409538354
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2695.png,160.35099585018733,211.37968535372121,151.97473266720553,208.38816278837058,145.3933830234341,222.14916658898355,144.79507851036396,228.73051623275498,,,,,,,152.57303718027566,233.51695233731604
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2705.png,156.16286425869643,171.2932829780225,147.7866010757146,173.08819651723286,147.7866010757146,186.25089580477575,150.77812364106526,197.6186815531082,,,165.1374319547484,178.47293713486405,,,,
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2747.png,262.0627630721095,41.4612036418042,257.8746314806186,33.6832449718925,246.50684573228608,42.059508154874315,241.12210511465491,51.03407585092628,268.0458082028108,36.67476753724315,260.8661540459692,52.230684877066544,,,245.31023670614582,56.418816468557445
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2761.png,341.6372633104368,39.067985589523666,344.0304813627173,31.8883314326821,326.0813459706134,26.503590815050934,321.8932143791225,30.093417893471717,,,330.86778207517443,48.04255328557563,317.70508278763157,46.24763974636523,317.70508278763157,39.067985589523666
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2805.png,376.33892506850435,98.30013238346658,381.1253611730654,96.50521884425618,380.52705665999525,83.94082406978345,376.93722958157446,72.57303832145098,370.9541844508732,97.10352335732631,363.1762257809615,89.92386920048475,,,367.96266188552255,74.36795186066138
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2910.png,164.53912744167826,302.92027585345113,,,168.12895452009903,288.560967539768,152.57303718027566,278.3897908175758,162.74421390246786,307.10840744494203,147.7866010757146,299.9287532881005,145.3933830234341,290.35588107897837,149.581514614925,283.77453143520694
labeled-data,Basler_acA640-750um__24510410__20230807_105445454,img2949.png,360.18470321561085,410.6150882060746,,,345.8253949019277,401.6405205100226,336.85082720587576,410.6150882060746,364.97113932017186,415.40152431063564,351.808440032629,424.9743965197577,338.047436232016,427.36761457203824,336.2525226928056,417.79474236291617
